id	STUSAB	STATE_NAME	STATENS	USStateID	TrialStructureDescription	PopulationCategoryDescription	RuralDescription	TrialCriminalProcessingDescription	DeathPenaltyDescription	AppellateCriminalStructureDescription	PopulationDensityDescription	CaseloadSizeDescription
01	AL	Alabama	1779775	1	Two Tiered	3,580,001 to 4,780,000	26-49% of the population	Two Tiered	Missing information	IAC by Subject Matter	51-100	501 Thousand-1 Million
02	AK	Alaska	1785533	2	Two Tiered	up to 990,000	26-49% of the population	Single Tiered	No	COLR Discretionary/IAC Mandatory	0-20	Under 200 Thousand
04	AZ	Arizona	1779777	3	Two Tiered	4,780,001 to 6,490,000	Less than or equal to 15% of the population	Two Tiered	Yes	COLR Discretionary/IAC Mandatory	51-100	1.1 Million-3 Million
05	AR	Arkansas	68085	4	Two Tiered	1,860,001 to 3,580,000	26-49% of the population	Single Tiered	Yes	COLR Discretionary/IAC Mandatory	51-100	1.1 Million-3 Million
06	CA	California	1779778	5	Single Tiered	9,890,001 to highest	Less than or equal to 15% of the population	Single Tiered	Yes	COLR Discretionary/IAC Mandatory	201-500	Over 6 Million
08	CO	Colorado	1779779	6	Two Tiered	4,780,001 to 6,490,000	16-25% of the population	Two Tiered	Yes	COLR Discretionary/IAC Mandatory	21-50	501 Thousand-1 Million
09	CT	Connecticut	1779780	7	Two Tiered	1,860,001 to 3,580,000	16-25% of the population	Two Tiered	No	COLR Discretionary/IAC Mandatory	501-1000	501 Thousand-1 Million
10	DE	Delaware	1779781	8	Two Tiered	up to 990,000	26-49% of the population	Single Tiered	No	COLR Mandatory	201-500	201 Thousand-500 Thousand
11	DC	District of Columbia	1702382	9	Single Tiered	up to 990,000	Less than or equal to 15% of the population	Single Tiered	No	COLR Mandatory	10001-highest	Under 200 Thousand
12	FL	Florida	294478	10	Two Tiered	9,890,001 to highest	Less than or equal to 15% of the population	Single Tiered	Yes	COLR Discretionary/IAC Mandatory	201-500	3.1 Million-6 Million
13	GA	Georgia	1705317	11	Two Tiered	6,490,001 to 9,890,000	26-49% of the population	Two Tiered	Yes	COLR Discretionary/IAC Mandatory	101-200	3.1 Million-6 Million
15	HI	Hawai'i	1779782	13	Two Tiered	990,001 to 1,860,000	Less than or equal to 15% of the population	Two Tiered	No	COLR Discretionary/IAC Mandatory	201-500	501 Thousand-1 Million
16	ID	Idaho	1779783	14	Single Tiered	990,001 to 1,860,000	26-49% of the population	Single Tiered	Missing information	Deflective Structure	0-20	201 Thousand-500 Thousand
17	IL	Illinois	1779784	15	Single Tiered	9,890,001 to highest	Less than or equal to 15% of the population	Single Tiered	No	COLR Discretionary/IAC Mandatory	201-500	1.1 Million-3 Million
18	IN	Indiana	448508	16	Two Tiered	4,780,001 to 6,490,000	26-49% of the population	Single Tiered	Yes	IAC by Subject Matter	101-200	1.1 Million-3 Million
19	IA	Iowa	1779785	17	Single Tiered	1,860,001 to 3,580,000	26-49% of the population	Single Tiered	No	Deflective Structure	51-100	501 Thousand-1 Million
20	KS	Kansas	481813	18	Two Tiered	1,860,001 to 3,580,000	26-49% of the population	Single Tiered	Yes	COLR Discretionary/IAC Mandatory	21-50	501 Thousand-1 Million
21	KY	Kentucky	1779786	19	Two Tiered	3,580,001 to 4,780,000	26-49% of the population	Two Tiered	Yes	COLR Discretionary/IAC Mandatory	101-200	501 Thousand-1 Million
22	LA	Louisiana	1629543	20	Two Tiered	3,580,001 to 4,780,000	26-49% of the population	Single Tiered	Yes	COLR and IAC Discretionary	101-200	1.1 Million-3 Million
23	ME	Maine	1779787	21	Single Tiered	990,001 to 1,860,000	Greater than or equal to 50% of the population	Single Tiered	Missing information	COLR Mandatory	21-50	Under 200 Thousand
24	MD	Maryland	1714934	22	Two Tiered	4,780,001 to 6,490,000	16-25% of the population	Two Tiered	No	COLR Discretionary/IAC Mandatory	501-1000	1.1 Million-3 Million
25	MA	Massachusetts	606926	23	Two Tiered	6,490,001 to 9,890,000	16-25% of the population	Two Tiered	No	COLR Discretionary/IAC Mandatory	501-1000	501 Thousand-1 Million
26	MI	Michigan	1779789	24	Two Tiered	6,490,001 to 9,890,000	16-25% of the population	Two Tiered	No	COLR Discretionary/IAC Mandatory	101-200	3.1 Million-6 Million
27	MN	Minnesota	662849	25	Single Tiered	4,780,001 to 6,490,000	16-25% of the population	Single Tiered	No	COLR Discretionary/IAC Mandatory	51-100	1.1 Million-3 Million
28	MS	Mississippi	1779790	26	Two Tiered	1,860,001 to 3,580,000	Less than or equal to 15% of the population	Two Tiered	Yes	Deflective Structure	51-100	Under 200 Thousand
29	MO	Missouri	1779791	27	Two Tiered	4,780,001 to 6,490,000	16-25% of the population	Single Tiered	Yes	COLR Discretionary/IAC Mandatory	51-100	1.1 Million-3 Million
30	MT	Montana	767982	28	Two Tiered	up to 990,000	16-25% of the population	Single Tiered	Missing information	COLR Mandatory	0-20	201 Thousand-500 Thousand
31	NE	Nebraska	1779792	29	Two Tiered	990,001 to 1,860,000	16-25% of the population	Two Tiered	Missing information	COLR Discretionary/IAC Mandatory	21-50	201 Thousand-500 Thousand
32	NV	Nevada	1779793	30	Two Tiered	1,860,001 to 3,580,000	Less than or equal to 15% of the population	Two Tiered	Yes	COLR Mandatory	21-50	501 Thousand-1 Million
33	NH	New Hampshire	1779794	31	Two Tiered	990,001 to 1,860,000	16-25% of the population	Two Tiered	Yes	COLR Discretionary	101-200	Under 200 Thousand
34	NJ	New Jersey	1779795	32	Two Tiered	6,490,001 to 9,890,000	Less than or equal to 15% of the population	Two Tiered	No	COLR Discretionary/IAC Mandatory	10001-highest	Over 6 Million
35	NM	New Mexico	897535	33	Two Tiered	1,860,001 to 3,580,000	26-49% of the population	Two Tiered	No	COLR Discretionary/IAC Mandatory	0-20	201 Thousand-500 Thousand
36	NY	New York	1779796	34	Two Tiered	9,890,001 to highest	16-25% of the population	Two Tiered	No	IAC by Subject Matter	201-500	3.1 Million-6 Million
37	NC	North Carolina	1027616	35	Two Tiered	6,490,001 to 9,890,000	Greater than or equal to 50% of the population	Two Tiered	Yes	COLR Discretionary/IAC Mandatory	101-200	1.1 Million-3 Million
38	ND	North Dakota	1779797	36	Two Tiered	up to 990,000	26-49% of the population	Single Tiered	No	COLR Mandatory	0-20	Under 200 Thousand
39	OH	Ohio	1085497	37	Two Tiered	9,890,001 to highest	26-49% of the population	Two Tiered	Yes	COLR Discretionary/IAC Mandatory	201-500	3.1 Million-6 Million
40	OK	Oklahoma	1102857	38	Two Tiered	3,580,001 to 4,780,000	26-49% of the population	Single Tiered	Missing information	COLR by Subject Matter	21-50	501 Thousand-1 Million
41	OR	Oregon	1155107	39	Two Tiered	3,580,001 to 4,780,000	26-49% of the population	Single Tiered	Yes	COLR Discretionary/IAC Mandatory	21-50	501 Thousand-1 Million
42	PA	Pennsylvania	1779798	40	Two Tiered	9,890,001 to highest	26-49% of the population	Two Tiered	Yes	IAC by Subject Matter	201-500	3.1 Million-6 Million
44	RI	Rhode Island	1219835	42	Two Tiered	990,001 to 1,860,000	Less than or equal to 15% of the population	Two Tiered	No	COLR Mandatory	10001-highest	Under 200 Thousand
45	SC	South Carolina	1779799	43	Two Tiered	3,580,001 to 4,780,000	26-49% of the population	Single Tiered	Yes	COLR Discretionary/IAC Mandatory	101-200	1.1 Million-3 Million
46	SD	South Dakota	1785534	44	Two Tiered	up to 990,000	Greater than or equal to 50% of the population	Two Tiered	Missing information	COLR Mandatory	0-20	201 Thousand-500 Thousand
47	TN	Tennessee	1325873	45	Two Tiered	4,780,001 to 6,490,000	26-49% of the population	Single Tiered	Yes	IAC by Subject Matter	101-200	Under 200 Thousand
48	TX	Texas	1779801	46	Two Tiered	9,890,001 to highest	16-25% of the population	Single Tiered	Yes	COLR by Subject Matter	51-100	Over 6 Million
49	UT	Utah	1455989	47	Two Tiered	3,580,001 to 4,780,000	Less than or equal to 15% of the population	Single Tiered	Yes	COLR Discretionary/IAC Mandatory	21-50	501 Thousand-1 Million
50	VT	Vermont	1779802	48	Single Tiered	up to 990,000	Greater than or equal to 50% of the population	Single Tiered	No	COLR Mandatory	51-100	Under 200 Thousand
51	VA	Virginia	1779803	49	Two Tiered	6,490,001 to 9,890,000	26-49% of the population	Two Tiered	Yes	COLR and IAC Discretionary	201-500	3.1 Million-6 Million
53	WA	Washington	1779804	50	Two Tiered	6,490,001 to 9,890,000	16-25% of the population	Two Tiered	Yes	COLR Discretionary/IAC Mandatory	101-200	1.1 Million-3 Million
54	WV	West Virginia	1779805	51	Two Tiered	990,001 to 1,860,000	Greater than or equal to 50% of the population	Two Tiered	No	COLR Discretionary	51-100	201 Thousand-500 Thousand
55	WI	Wisconsin	1779806	52	Two Tiered	4,780,001 to 6,490,000	26-49% of the population	Two Tiered	No	COLR Discretionary/IAC Mandatory	101-200	1.1 Million-3 Million
56	WY	Wyoming	1779807	53	Two Tiered	up to 990,000	26-49% of the population	Two Tiered	Missing information	COLR Mandatory	0-20	Under 200 Thousand
66	GU	Guam	1802705	12	Single Tiered	up to 990,000	Missing information	Single Tiered	No	Missing information	501-1000	Under 200 Thousand
72	PR	Puerto Rico	1779808	41	Single Tiered	3,580,001 to 4,780,000	Missing information	Single Tiered	Missing information	Missing information	10001-highest	201 Thousand-500 Thousand
